tanggal,ph,temperature,turbinity,label
2023-06-10 00:37:03,5.66,25.69,5,bersih
2023-06-10 00:37:08,5.64,25.69,5,bersih
2023-06-10 00:37:14,5.7,25.69,5,bersih
2023-06-10 00:37:20,5.67,25.69,5,bersih
2023-06-10 00:37:25,5.66,25.69,5,bersih
2023-06-10 00:37:31,5.67,25.69,5,bersih
2023-06-10 00:37:37,5.59,25.69,5,bersih
2023-06-10 00:37:43,5.59,25.69,5,bersih
2023-06-10 00:37:48,5.59,25.69,5,bersih
2023-06-10 00:37:54,5.59,25.69,5,bersih
2023-06-10 00:38:00,5.59,25.69,5,bersih
2023-06-10 00:38:05,5.68,25.69,5,bersih
2023-06-10 00:38:11,5.74,25.69,5,bersih
2023-06-10 00:38:17,5.64,25.69,5,bersih
2023-06-10 00:38:23,5.63,25.69,5,bersih
2023-06-10 00:38:28,5.62,25.69,5,bersih
2023-06-10 00:38:34,5.66,25.69,5,bersih
2023-06-10 00:38:40,5.59,25.69,5,bersih
2023-06-10 00:38:45,5.7,25.69,5,bersih
2023-06-10 00:38:51,5.55,25.69,5,bersih
2023-06-10 00:38:57,5.65,25.69,5,bersih
2023-06-10 00:39:02,5.59,25.69,5,bersih
2023-06-10 00:39:08,5.61,25.69,5,bersih
2023-06-10 00:39:14,5.7,25.69,5,bersih
2023-06-10 00:39:19,5.6,25.69,5,bersih
2023-06-10 00:39:26,5.71,25.69,5,bersih
2023-06-10 00:39:32,5.66,25.69,5,bersih
2023-06-10 00:39:37,5.59,25.69,5,bersih
2023-06-10 00:39:43,5.67,25.69,5,bersih
2023-06-10 00:39:49,5.59,25.69,5,bersih
2023-06-10 00:39:54,5.63,25.69,5,bersih
2023-06-10 00:40:00,5.59,25.69,5,bersih
2023-06-10 00:40:06,5.59,25.69,5,bersih
2023-06-10 00:40:11,5.6,25.69,5,bersih
2023-06-10 00:40:17,5.64,25.69,5,bersih
2023-06-10 00:40:23,5.63,25.69,6,bersih
2023-06-10 00:40:28,5.59,25.69,5,bersih
2023-06-10 00:40:34,5.71,25.69,5,bersih
2023-06-10 00:40:40,5.63,25.69,5,bersih
2023-06-10 00:40:46,5.59,25.69,5,bersih
2023-06-10 00:40:51,5.63,25.69,5,bersih
2023-06-10 00:40:57,5.66,25.69,5,bersih
2023-06-10 00:41:03,5.62,25.69,5,bersih
2023-06-10 00:41:08,5.72,25.69,5,bersih
2023-06-10 00:41:14,5.64,25.69,5,bersih
2023-06-10 00:41:20,5.73,25.69,5,bersih
2023-06-10 00:41:26,5.7,25.69,5,bersih
2023-06-10 00:41:31,5.62,25.69,5,bersih
2023-06-10 00:41:37,5.59,25.69,5,bersih
2023-06-10 00:41:43,5.7,25.69,6,bersih
2023-06-10 00:41:48,5.69,25.69,5,bersih
2023-06-10 00:41:54,5.65,25.69,5,bersih
2023-06-10 00:42:00,5.64,25.69,5,bersih
2023-06-10 00:42:05,5.7,25.69,5,bersih
2023-06-10 00:42:11,5.71,25.69,5,bersih
2023-06-10 00:42:17,5.59,25.69,5,bersih
2023-06-10 00:42:23,5.76,25.69,5,bersih
2023-06-10 00:42:29,5.59,25.69,5,bersih
